,A:Tô Hoài,A:Paulo CoeHo,A:Dale Carnegie,A:Rosie Nguyễn,A:Patrick Modiano,A:Hyun-wook park,A:Xuân Quỳnh,A:J. R. R. Tolkien,A:Diana Wynne Jones,A:Laura Cowan,A:Stephen Hawking,A: Sumino Yoru,A: Phương Hoài Nga,A: Alexandre Dumas,A:Chris Cooper,A:Trần Lỗi,A:Benjamin Graham,A:Raymond Chandler,C:Tiểu thuyết,C:Hài hước,C:Kỹ năng,C:Thiếu nhi,C:Lịch sử,C:Giáo trình,C:Khoa học,C:Lãng mạn,C:Thơ - Kịch,C:Văn học,C:Phiêu lưu,C:Kiến thức,C:Truyện tranh,C:Tài chính - Kinh doanh,C:Trinh thám,P:Kim Đồng,P:Nhã Nam,P:NXB Trẻ,P:Hội nhà văn,P:Hà Nội,P:Lao Động,P:Văn học,P:Dân Trí,P:Thế Giới,P:Phụ Nữ
1:Dế Mèn phưu lưu kí,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2:Hoàng Tử Bé,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3:Đắc nhân tâm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10:Công chúa ngủ trong rừng,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14:Tuổi trẻ đáng giá bao nhiêu?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15:Tuần trăng mật,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16:Giã từ thơ ngây,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17:Hồi ức là cuộn băng tua ngược,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18:TRONG ĐÁY MẮT TRỜI XANH LÀ VĨNH VIỄN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19:KHÔNG BAO GIỜ LÀ CUỐI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
